borough,address,latitude,longitude
QN,166 STREET,40.7218529,-73.8020706
BX,OLINVILLE AVENUE,40.8807502,-73.8665167
BK,332 STAGG STREET,40.7100816,-73.9352436
BK,818 DEKALB AVENUE,40.6920501,-73.943454
BK,540 WILLOUGHBY AVENUE,40.6937978,-73.9478015
BK,94 PULASKI STREET,40.6923156,-73.947698
BK,154 TOMPKINS AVENUE,40.693863,-73.9463085
MN,249 EAST 105 STREET,40.7903752,-73.943356
MN,2 AVENUE,40.790172,-73.9431576
BX,1515 LURTING AVENUE,40.8432404,-73.8503424
BX,1558 LURTING AVENUE,40.845203,-73.8504175
BX,1612 POPLAR STREET,40.8454998,-73.8464808
BK,MARCY AVENUE,40.6920551,-73.9483149
BX,1415 OVERING STREET,40.839615,-73.8443585
BK,152 HART STREET,40.6933328,-73.9453389
BX,1513 OVERING STREET,40.8408551,-73.8460506
BK,149 PULASKI STREET,40.693061,-73.9452237
BK,185 TOMPKINS AVENUE,40.6929843,-73.9455483
BX,1140 SACKET AVENUE,40.8471847,-73.8462601
BK,150 HART STREET,40.693341,-73.9454002
BK,GARNET STREET,40.6743547,-73.9983489
QN,87-74 172 STREET,40.7111355,-73.7901594
QN,170-05 CEDARCROFT ROAD,40.7117961,-73.79274
QN,87-21 HOMELAWN STREET,40.7119664,-73.7928152
QN,87-25 HOMELAWN STREET,40.7118731,-73.7927831
BK,413 BOND STREET,40.676262,-73.9918055
BK,148 3 STREET,40.6761687,-73.9914161
BK,213 THIRD AVENUE,40.6793162,-73.9844322
BK,SACKETT STREET,40.6784296,-73.9846054
BX,EAST 169 STREET,40.8303409,-73.8988432
QN,90-29 170 STREET,40.7079894,-73.7898591
QN,177-06 87 DRIVE,40.7126552,-73.7867242
BK,HOYT STREET,40.6779556,-73.9933771
BK,3 STREET,40.6768412,-73.9928761
BK,509 CARROLL STREET,40.6768405,-73.9850384
BK,5 3 STREET,40.6789631,-73.9954789
BK,4 AVENUE,40.6771532,-73.9836179
BK,4 STREET,40.6775714,-73.9937413
BK,210 3 STREET,40.6750952,-73.9883339
BK,143 WINDSOR PLACE,40.659737,-73.9799386
BK,270 NEVINS STREET,40.6801921,-73.9872117
BK,21 DENTON PLACE,40.6758167,-73.9850314
BK,284 4 AVENUE,40.6757562,-73.9846637
BX,2001 NEEDHAM AVENUE,40.8827684,-73.8392054
MN,152 WEST 14 STREET,40.7380963,-73.9993469
MN,14 GAY STREET,40.7336471,-74.0005557
BK,SKILLMAN AVENUE,40.7161972,-73.9408723
BK,402 MANHATTAN AVE,40.7181487,-73.946408
BK,321 AVENUE T,40.5994573,-73.9731616
BK,237 PACIFIC STREET,40.6887754,-73.991126
BK,241 CONSELYEA STREET,40.7157392,-73.9415653
BK,239 CONSELYEA STREET,40.7156239,-73.9416195
BK,MEEKER AVENUE,40.7208641,-73.9423617
BK,RICHARDSON STREET,40.71884,-73.9455849
BK,26 HERBERT STREET,40.7192181,-73.9441236
BK,MEEKER AVENUE,40.7214236,-73.9415459
BK,ST JOHNS PLACE,40.6777833,-73.9768976
BK,220 3 STREET,40.6743185,-73.9888495
BK,231 3 AVENUE,40.6785532,-73.9849227
BK,2081 ATLANTIC AVENUE,40.6766482,-73.9114998
BK,9 MARCONI PLACE,40.6772473,-73.9124075
BK,1905 ATLANTIC AVENUE,40.6771795,-73.9212116
BK,24 GUNTHER PLACE,40.6768682,-73.912098
BK,1209 BEDFORD AVENUE,40.6819181,-73.953374
BK,1087 ATLANTIC AVENUE,40.6794155,-73.955009
BK,HERKIMER STREET,40.6777224,-73.9203493
BK,520 STERLING PLACE,40.6738953,-73.9612638
BK,JUDGE STREET,40.7134332,-73.9409108
BK,HERKIMER PLACE,40.6791968,-73.9505205
BK,517 NOSTRAND AVENUE,40.6794982,-73.9492944
BK,1982 FULTON STREET,40.6784902,-73.9193208
BK,HERKIMER STREET,40.679382,-73.9471674
BK,VOORHIES AVENUE,40.58638,-73.9465101
BX,EAST 178 STREET,40.8483456,-73.8981616
BK,1305 ATLANTIC AVENUE,40.6785614,-73.9473555
BK,317 SUMPTER STREET,40.6810541,-73.9122367
BK,202 MAC DOUGAL STREET,40.6798659,-73.9125231
BK,308 SUMPTER STREET,40.6806915,-73.9118514
BK,920 METROPOLITAN AVENUE,40.7143487,-73.9383452
QN,150-39 14 ROAD,40.7882242,-73.8121797
BK,315 MARION STREET,40.6813811,-73.9164402
QN,150-45 14 ROAD,40.7883091,-73.8120278
MN,322 LENOX AVENUE,40.8084883,-73.9445074
BK,MARION STREET,40.6809202,-73.9166463
BK,315 SUMPTER STREET,40.6810542,-73.9122944
BK,HULL STREET,40.6796744,-73.9133634
QN,143-31 97 AVENUE,40.6966798,-73.8080812
BK,157 SPENCER STREET,40.6936607,-73.9547253
BK,HULL STREET,40.6790322,-73.9135553
BK,BEDFORD AVENUE,40.694243,-73.9557527
BK,145 SANDFORD STREET,40.6944917,-73.9530659
BK,REMSEN STREET,40.6928926,-73.9919981
BK,REMSEN STREET,40.6929448,-73.9923407
BK,MC KIBBIN COURT,40.7051645,-73.9379606
MN,2 WASHINGTON TERRACE,40.8514788,-73.9296478
QN,148-13 95 AVENUE,40.6993884,-73.8044814
QN,95-34 149 STREET,40.6982837,-73.8037237
BK,MC KIBBIN STREET,40.7055203,-73.9361172
BK,325 MAUJER STREET,40.7123551,-73.9367275
BK,316 TEN EYCK STREET,40.7111612,-73.9368152
BK,302 MAUJER STREET,40.7118694,-73.9370021
BK,244 MONTROSE AVENUE,40.7074816,-73.9390477
BK,1510 FULTON STREET,40.6796532,-73.9404901
QN,149-04 97 AVENUE,40.6980409,-73.8030356
QN,149-06 97 AVENUE,40.698071,-73.8029562
QN,147-05 94 AVENUE,40.6993016,-73.8067754
QN,93-43 SUTPHIN BOULEVARD,40.6992139,-73.8067973
QN,93-45 SUTPHIN BOULEVARD,40.6993951,-73.8068364
BK,ATLANTIC AVENUE,40.6783646,-73.9433141
QN,11 AVENUE,40.788209,-73.8443198
BK,323 CLIFTON PLACE,40.6894677,-73.9503867
BK,CHAUNCEY STREET,40.6801817,-73.9286531
BK,BAINBRIDGE STREET,40.6806092,-73.9321211
BK,STUYVESANT AVENUE,40.6824565,-73.9322634
BK,48 3 AVENUE,40.6852032,-73.9810271
QN,148-07 95 AVENUE,40.6993118,-73.8046836
QN,97-35 WALTHAM STREET,40.6959814,-73.8056743
QN,101 AVENUE,40.6960796,-73.805335
BK,76 3 AVENUE,40.6843771,-73.9816835
BK,2628 EAST 11 STREET,40.5866653,-73.9595791
BK,394 GATES AVENUE,40.6860313,-73.9504469
BK,SAPPHIRE STREET,40.6709565,-73.8577441
BK,434 GATES AVENUE,40.686187,-73.9488026
BK,396 GATES AVENUE,40.6860395,-73.9503712
BK,321 CLIFTON PLACE,40.6894595,-73.9504588
QN,TUCKERTON STREET,40.7001136,-73.8016266
BK,UNDERHILL AVENUE,40.6738038,-73.9673636
BK,FULTON STREET,40.6809241,-73.9526031
BK,146 MADISON STREET,40.6841852,-73.9531741
BK,772 MYRTLE AVENUE,40.6948644,-73.9515619
BK,148 MADISON STREET,40.6841934,-73.9531272
BK,1207 BEDFORD AVENUE,40.6820032,-73.9533956
QN,150 STREET,40.7013222,-73.8037905
QN,150-17 LIBERTY AVENUE,40.6984481,-73.8019489
BK,592 MARCY AVENUE,40.6943364,-73.9493084
QN,95-33 150 STREET,40.6987589,-73.8023591
QN,99-18 150 STREET,40.701554,-73.8044895
BK,452 NOSTRAND AVENUE,40.6835171,-73.9505101
BK,610 MARCY AVENUE,40.6936172,-73.9491647
BK,172 MADISON STREET,40.6842918,-73.9522618
BK,811 GREENE AVENUE,40.6904183,-73.9356413
BK,441 NOSTRAND AVENUE,40.6937859,-73.9519413
BX,BRUCKNER BOULEVARD,40.8219272,-73.8887358
QN,92-11 147 PLACE,40.7012967,-73.8065316
QN,ARCHER AVENUE,40.701096,-73.8063158
BK,DIVISION PLACE,40.7200121,-73.9402448
QN,87-50 168 STREET,40.7103485,-73.7951756
MN,12 AVENUE,40.7595629,-74.0038696
MN,103 WEST 138 STREET,40.8164621,-73.9399089
BK,462 SCOTT AVENUE,40.7266452,-73.9288307
QN,166-16 88 AVENUE,40.7087758,-73.7952238
QN,166-10 HILLSIDE AVENUE,40.709359,-73.7959253
BK,177 MOORE STREET,40.7042833,-73.9377739
MN,123 WEST 138 STREET,40.8168166,-73.9407504
QN,88-16 168 PLACE,40.7091406,-73.7935057
QN,168-33 88TH AVENUE,40.7099721,-73.7934094
QN,87-87 169 STREET,40.7102118,-73.7923806
BK,CLYMER STREET,40.7072393,-73.9630479
QN,148 STREET,40.7021624,-73.807171
BK,428 GATES AVENUE,40.6861624,-73.9490117
QN,JAMAICA AVENUE,40.7035581,-73.8015118
BK,356 FULTON STREET,40.691465,-73.9883274
MN,113 WEST 138 STREET,40.8166435,-73.9403387
BK,360 FULTON STREET,40.6913854,-73.9881615
BK,366 FULTON STREET,40.6913991,-73.9879812
BK,380 FULTON STREET,40.6913936,-73.9875846
BK,370 FULTON STREET,40.6913661,-73.9879091
BK,522 AVENUE X,40.5909707,-73.9641132
MN,258 3 AVENUE,40.7375655,-73.9844258
MN,256 3 AVENUE,40.7375079,-73.9844691
MN,252 3 AVENUE,40.7373954,-73.9845485
MN,38 GRAMERCY PARK NORTH,40.737744,-73.9848624
MN,37 GRAMERCY PARK EAST,40.7376836,-73.9848443
BK,2030 FULTON STREET,40.678365,-73.9168838
BK,244 SARATOGA AVENUE,40.6774947,-73.9166109
BK,1897 ATLANTIC AVENUE,40.677199,-73.9215937
BK,309 HOWARD AVENUE,40.6771505,-73.9189944
BK,HOWARD AVENUE,40.6771999,-73.9189763
QN,1857 GATES AVENUE,40.7045291,-73.9074341
BK,VAN SINDEREN AVENUE,40.65791,-73.8987118
BX,BROADWAY,40.8927949,-73.8970446
BK,634 HINSDALE STREET,40.6591306,-73.8977224
BK,457 VAN SINDEREN AVENUE,40.6645539,-73.9004283
MN,514 11 AVENUE,40.7596261,-73.9985453
MN,11 AVENUE,40.7593379,-73.9977981
BK,494 LINCOLN AVENUE,40.6778884,-73.8680476
BK,524 STERLING PLACE,40.6738788,-73.9611773
BK,478 SAINT JOHNS PLACE,40.6731462,-73.9621331
MN,419 EAST 6 STREET,40.7262024,-73.98515
